ID,title,organiser,blurb,description,guid,activity_or_event,url,is_free,price_display_teaser,price_display,price,min_price,max_price,age_group_display,min_age,max_age,datetime_display_teaser,datetime_display,start_datetime,end_datetime,venue_name,resolved address,categories,images,longitude,latitude,checked,area,district,Label tag,Keyword tag
178,IMM Mall Playground and Family-Friendly Activities,Playpoint Asia,Discover play areas & family fun at IMM Mall now!,"IMM Mall offers a variety of family-friendly activities and play areas designed to entertain children of all ages. From interactive playgrounds to engaging events, there's always something exciting happening at IMM. Explore the mall's dedicated play zones, which feature soft play areas, climbing structures, and sensory experiences. These spaces provide a safe and stimulating environment for kids to explore and develop their motor skills. Additionally, IMM Mall hosts regular events and workshops tailored to families, including arts and crafts sessions, storytelling performances, and seasonal celebrations. With its diverse range of offerings, IMM Mall is the perfect destination for a fun-filled day out with the family.",https://playpoint.asia/projects/malls/?filter-country=singapore,activity,https://playpoint.asia/projects/malls/?filter-country=singapore,TRUE,Free,Free,0,0,,1 to 12 years old,0,12,Available daily,"Available daily, 10am - 10pm",1970-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,IMM Mall,"3 Gateway Dr, Level 3, unit #36/37 Westgate, Singapore 608532","Mall related, Outdoor Playground","[{""local_path"": ""events_output/event_1/images/user_uploads/IMM_Mall_Playground_and_Family_Friendly_Activities_1.jpg"", ""filename"": ""IMM_Mall_Playground_and_Family_Friendly_Activities_1.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/imm-mall/"", ""source_credit"": ""playpoint""}, {""local_path"": ""events_output/event_1/images/user_uploads/IMM_Mall_Playground_and_Family_Friendly_Activities_2.jpg"", ""filename"": ""IMM_Mall_Playground_and_Family_Friendly_Activities_2.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/imm-mall/"", ""source_credit"": ""playpoint""}, {""local_path"": ""events_output/event_1/images/user_uploads/IMM_Mall_Playground_and_Family_Friendly_Activities_3.jpg"", ""filename"": ""IMM_Mall_Playground_and_Family_Friendly_Activities_3.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/imm-mall/"", ""source_credit"": ""playpoint""}, {""url"": ""https://playpoint.asia/wp-content/uploads/IMM_Feat_01.jpg"", ""source_credit"": ""Playpoint Asia""}]",103.7427835,1.3343784,TRUE,West Region,Jurong East,,"Slide, trampoline, merry-go-round, swing"
179,New Bahru Playground and Activity Center Venue,Playpoint Asia,Explore the New Bahru playground and activity center.,"New Bahru offers a dynamic space for families and children to engage in various activities. The venue features a playground designed to stimulate creativity and physical activity, providing a safe and enjoyable environment for kids of all ages. With a focus on interactive play and family-friendly amenities, New Bahru is an ideal destination for a fun-filled day out. The center includes play areas, comfortable seating for parents, and dedicated spaces for various events and workshops. It is designed to cater to families looking for a blend of recreation and relaxation in a vibrant setting.",https://playpoint.asia/projects/malls/?filter-country=singapore,activity,https://playpoint.asia/projects/malls/?filter-country=singapore,TRUE,Free,Free,0,0,,1 to 12 years old,0,12,Available daily,Available daily,1970-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,New Bahru,"58 Kim Yam Rd, #04-01, Singapore 239359",Outdoor Playground,"[{""local_path"": ""events_output/event_2/images/user_uploads/New_Bahru_Playground_and_Activity_Center_Venue_1.jpg"", ""filename"": ""New_Bahru_Playground_and_Activity_Center_Venue_1.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/new-bahru/"", ""source_credit"": ""playpoint""}, {""local_path"": ""events_output/event_2/images/user_uploads/New_Bahru_Playground_and_Activity_Center_Venue_2.jpg"", ""filename"": ""New_Bahru_Playground_and_Activity_Center_Venue_2.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/new-bahru/"", ""source_credit"": ""playpoint""}, {""url"": ""https://playpoint.asia/wp-content/uploads/NewBahru_Feat_01.jpg"", ""source_credit"": ""Playpoint Asia""}]",103.8396061,1.2929534,TRUE,Central Region,River Valley,,"Slide, swing, trampoline, tunnel, oatside"
180,Aperia Mall Playground and Family Fun Activities,Playpoint Asia,Discover family-friendly fun at Aperia Mall today!,"Aperia Mall offers a variety of activities suitable for families and children. From indoor playgrounds to interactive play areas, there's something for everyone to enjoy. Explore the mall's family-friendly amenities and create lasting memories with your loved ones. Aperia Mall provides a safe and engaging environment for kids to play and explore. Parents can relax and unwind while their children have fun. The mall also hosts regular events and activities for families to participate in. Enjoy a day of fun and excitement at Aperia Mall with your family.",https://playpoint.asia/projects/malls/?filter-country=singapore,activity,https://playpoint.asia/projects/malls/?filter-country=singapore,TRUE,Free,Free,0,0,,1 to 12 years old,0,12,Available daily,"Available daily, 10am - 10pm",1970-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,Aperia Mall,"180 Kitchener Road, Mall, #02-19A City Square, Singapore 208539","Mall related, Outdoor Playground","[{""local_path"": ""events_output/event_3/images/user_uploads/Aperia_Mall_Playground_and_Family_Fun_Activities_1.jpg"", ""filename"": ""Aperia_Mall_Playground_and_Family_Fun_Activities_1.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/aperia-mall/"", ""source_credit"": ""playpoint""}, {""local_path"": ""events_output/event_3/images/user_uploads/Aperia_Mall_Playground_and_Family_Fun_Activities_2.jpg"", ""filename"": ""Aperia_Mall_Playground_and_Family_Fun_Activities_2.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/aperia-mall/"", ""source_credit"": ""playpoint""}, {""local_path"": ""events_output/event_3/images/user_uploads/Aperia_Mall_Playground_and_Family_Fun_Activities_3.jpg"", ""filename"": ""Aperia_Mall_Playground_and_Family_Fun_Activities_3.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/aperia-mall/"", ""source_credit"": ""playpoint""}, {""url"": ""https://playpoint.asia/wp-content/uploads/10_Aperia_Mall_FeatImage_01.jpg"", ""source_credit"": ""Playpoint Asia""}]",103.8565897,1.3113982,TRUE,Central Region,Kallang,,"hammock, toddler, trampoline, tunnel"
181,Shaw Plaza Family Entertainment and Activities,Playpoint Asia,Discover family fun at Shaw Plaza mall today!,"Shaw Plaza offers a variety of family-friendly entertainment options. Explore the mall's play areas designed for children of all ages. Enjoy interactive games, creative workshops, and exciting activities that cater to families. With a focus on creating memorable experiences, Shaw Plaza provides a safe and engaging environment for kids to play and learn. Parents can relax and unwind while their children have fun. The mall also features dining options suitable for families, making it a perfect destination for a day out. Discover the joy of family time at Shaw Plaza, where entertainment and convenience come together.",https://playpoint.asia/projects/malls/?filter-country=singapore,activity,https://playpoint.asia/projects/malls/?filter-country=singapore,TRUE,Free,Free,0,0,,1 to 12 years old,0,12,Available daily,"Available daily, 10am - 10pm",1970-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,Shaw Plaza,"360 Balestier Road #0401, Balestier, Level 4 beside Shaw Theatres, Shaw Plaza, Singapore 329783","Mall related, Indoor Playground","[{""local_path"": ""events_output/event_4/images/user_uploads/Shaw_Plaza_Family_Entertainment_and_Activities_1.jpg"", ""filename"": ""Shaw_Plaza_Family_Entertainment_and_Activities_1.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/shaw-plaza/"", ""source_credit"": ""playpoint""}, {""local_path"": ""events_output/event_4/images/user_uploads/Shaw_Plaza_Family_Entertainment_and_Activities_2.jpg"", ""filename"": ""Shaw_Plaza_Family_Entertainment_and_Activities_2.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/shaw-plaza/"", ""source_credit"": ""playpoint""}, {""url"": ""https://playpoint.asia/wp-content/uploads/Shaw_Feat_01.jpg"", ""source_credit"": ""Playpoint Asia""}]",103.8509168,1.3251797,TRUE,Central Region,Novena,,"zipline, trampoline, flying fox, tunnel, slide"
182,i12 Katong                                        ,Playpoint Asia,i12 Katong                                        ,"i12 Katong is a vibrant shopping mall that offers a variety of retail, dining, and entertainment options. It caters to families with children, providing a welcoming and engaging environment for all visitors. The mall features a mix of international and local brands, ensuring a diverse shopping experience. With its modern design and convenient location, i12 Katong is a popular destination for both locals and tourists. It provides a comfortable and enjoyable experience for families looking to spend quality time together.",https://playpoint.asia/projects/malls/?filter-country=singapore,activity,https://playpoint.asia/projects/malls/?filter-country=singapore,TRUE,Free,Free,0,0,,1 to 6 years old,0,6,Available daily,"Available daily, 10am - 10pm",1970-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,i12 Katong,"112 E Coast Rd, Singapore 428802","Mall related, Indoor Playground","[{""url"": ""https://playpoint.asia/wp-content/uploads/i12_Feat_01.jpg"", ""source_credit"": ""Playpoint Asia""}]",103.9052341,1.3052433,TRUE,Central Region,Marine Parade,,"soft play, toddler, baby, small, wall game, "
183,Great World City Mall Playground Adventure Zone,Playpoint Asia,Explore the playground at Great World City Mall.,"Great World City Mall offers a playground for children. It features various play structures designed to entertain and engage kids of different ages. The playground provides a safe and fun environment where children can climb, slide, and explore. Parents can relax while their children enjoy active play. The area is designed to promote physical activity and social interaction among children. It's a great place for families to spend quality time together while shopping or dining at the mall. The playground is suitable for families with young children looking for a fun and safe place to play.",https://playpoint.asia/projects/malls/?filter-country=singapore,activity,https://playpoint.asia/projects/malls/?filter-country=singapore,TRUE,Free,Free,0,0,,1 to 12 years old,0,12,Available daily,"Available daily, 10am - 10pm",1970-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,Great World City Mall,"1 Kim Seng Promenade, Singapore 237994","Mall related, Outdoor Playground","[{""local_path"": ""events_output/event_6/images/user_uploads/Great_World_City_Mall_Playground_Adventure_Zone_1.jpg"", ""filename"": ""Great_World_City_Mall_Playground_Adventure_Zone_1.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/great-world/"", ""source_credit"": ""playpoint""}, {""local_path"": ""events_output/event_6/images/user_uploads/Great_World_City_Mall_Playground_Adventure_Zone_2.jpg"", ""filename"": ""Great_World_City_Mall_Playground_Adventure_Zone_2.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/great-world/"", ""source_credit"": ""playpoint""}, {""local_path"": ""events_output/event_6/images/user_uploads/Great_World_City_Mall_Playground_Adventure_Zone_3.jpg"", ""filename"": ""Great_World_City_Mall_Playground_Adventure_Zone_3.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/great-world/"", ""source_credit"": ""playpoint""}, {""local_path"": ""events_output/event_6/images/user_uploads/Great_World_City_Mall_Playground_Adventure_Zone_4.jpg"", ""filename"": ""Great_World_City_Mall_Playground_Adventure_Zone_4.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/great-world/"", ""source_credit"": ""playpoint""}, {""url"": ""https://playpoint.asia/wp-content/uploads/GWC_Feat_01.jpg"", ""source_credit"": ""Playpoint Asia""}]",103.8321908,1.2938805,TRUE,Central Region,Singapore River,,"slide, train, toddler, tunnel, trampoline"
184,Discovery Slides at Jewel Changi Airport,Playpoint,Discovery Slides at Jewel Changi Airport venue.,"The Discovery Slides at Jewel Changi Airport offer a unique and thrilling experience for visitors of all ages. These giant slides are integrated into the architecture of Jewel, providing a fun and exciting way to explore the space. Families can enjoy sliding down these structures, creating memorable moments together. The slides are designed to be safe and enjoyable for children and adults alike, making it a perfect activity for a family outing. The venue provides a playful and engaging environment for kids and parents to bond and have fun.",https://playpoint.asia/projects/malls/?filter-country=singapore,activity,https://playpoint.asia/projects/malls/?filter-country=singapore,FALSE,From $6,"Singapore residents: $6, Standard rates: $8 ",0,0,,5 years old and above (min height 110cm),5,99,Available daily,"Mon - Thu: 10am - 9pm, Fri - Sun, PH & Eve of PH: 10am - 10pm",1970-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,Jewel Changi Airport,"Airport Blvd., Level 5 78, Singapore 819666","Attraction, Indoor Playground, Mall related","[{""local_path"": ""events_output/event_7/images/user_uploads/Discovery_Slides_at_Jewel_Changi_Airport_1.jpg"", ""filename"": ""Discovery_Slides_at_Jewel_Changi_Airport_1.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/discovery-slides-at-jewel-changi-airport/"", ""source_credit"": ""playpoint""}, {""local_path"": ""events_output/event_7/images/user_uploads/Discovery_Slides_at_Jewel_Changi_Airport_2.jpg"", ""filename"": ""Discovery_Slides_at_Jewel_Changi_Airport_2.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/discovery-slides-at-jewel-changi-airport/"", ""source_credit"": ""playpoint""}, {""local_path"": ""events_output/event_7/images/user_uploads/Discovery_Slides_at_Jewel_Changi_Airport_3.jpg"", ""filename"": ""Discovery_Slides_at_Jewel_Changi_Airport_3.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/discovery-slides-at-jewel-changi-airport/"", ""source_credit"": ""playpoint""}, {""url"": ""https://playpoint.asia/wp-content/uploads/05jewel_022-1.jpg"", ""source_credit"": ""Playpoint""}]",103.9895888,1.3600986,TRUE,East Region,Changi,,Slide
185,"Vivo City, Singapore - Family Fun Destination",Playpoint Asia,A premier shopping mall with family-friendly facilities.,"VivoCity is a large shopping mall located in HarbourFront, Singapore. It offers a wide range of retail outlets, dining options, and entertainment facilities, making it a popular destination for families. The mall features a playground, a rooftop amphitheater, and a wading pool for children. It also hosts various events and activities throughout the year, catering to families with kids of all ages. With its diverse offerings and convenient location, VivoCity provides a comprehensive and enjoyable experience for shoppers and visitors alike. It is designed to be family-friendly.",https://playpoint.asia/projects/malls/?filter-country=singapore,activity,https://playpoint.asia/projects/malls/?filter-country=singapore,TRUE,Free,Free,0,0,,1 to 12 years old,0,12,Available daily,"Available daily, 10am - 10pm",1970-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,Vivo City,"1 HarbourFront Walk, #03-12 VivoCity, Singapore 098585","Mall related, Outdoor Playground","[{""local_path"": ""events_output/event_8/images/user_uploads/Vivo_City__Singapore___Family_Fun_Destination_1.jpg"", ""filename"": ""Vivo_City__Singapore___Family_Fun_Destination_1.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/vivo-city-singapore/"", ""source_credit"": ""playpoint""}, {""local_path"": ""events_output/event_8/images/user_uploads/Vivo_City__Singapore___Family_Fun_Destination_2.jpg"", ""filename"": ""Vivo_City__Singapore___Family_Fun_Destination_2.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/vivo-city-singapore/"", ""source_credit"": ""playpoint""}, {""local_path"": ""events_output/event_8/images/user_uploads/Vivo_City__Singapore___Family_Fun_Destination_3.jpg"", ""filename"": ""Vivo_City__Singapore___Family_Fun_Destination_3.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/vivo-city-singapore/"", ""source_credit"": ""playpoint""}, {""local_path"": ""events_output/event_8/images/user_uploads/Vivo_City__Singapore___Family_Fun_Destination_4.jpg"", ""filename"": ""Vivo_City__Singapore___Family_Fun_Destination_4.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/vivo-city-singapore/"", ""source_credit"": ""playpoint""}, {""url"": ""https://playpoint.asia/wp-content/uploads/Vivo1_065.jpg"", ""source_credit"": ""Playpoint Asia""}]",103.82088,1.263612,TRUE,Central Region,Bukit Merah,Water play,"Slide, water, trampoline, hammock"
186,Tiong Bahru Plaza - Family Fun Destination,Playpoint Asia,A family-friendly mall with play areas and activities.,"Tiong Bahru Plaza offers a variety of family-friendly amenities and activities. The mall features play areas designed for children of different age groups, providing a safe and engaging environment for kids to have fun. With a selection of retail outlets, dining options, and entertainment facilities, Tiong Bahru Plaza is a convenient destination for families looking to spend quality time together. The mall hosts occasional events and promotions catering to families, making it a vibrant hub for community engagement and family-oriented experiences. It is a great place for families to shop, dine, and play.",https://playpoint.asia/projects/malls/?filter-country=singapore,activity,https://playpoint.asia/projects/malls/?filter-country=singapore,TRUE,Free,Free,0,0,,1 to 12 years old,0,12,Available daily,"Available daily, 10am - 10pm",1970-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,Tiong Bahru Plaza,"Tiong Bahru Road, Singapore 168732","Mall related, Outdoor Playground","[{""local_path"": ""events_output/event_9/images/user_uploads/Tiong_Bahru_Plaza___Family_Fun_Destination_1.jpg"", ""filename"": ""Tiong_Bahru_Plaza___Family_Fun_Destination_1.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/tiong-bahru-plaza/"", ""source_credit"": ""playpoint""}, {""local_path"": ""events_output/event_9/images/user_uploads/Tiong_Bahru_Plaza___Family_Fun_Destination_2.jpg"", ""filename"": ""Tiong_Bahru_Plaza___Family_Fun_Destination_2.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/tiong-bahru-plaza/"", ""source_credit"": ""playpoint""}, {""local_path"": ""events_output/event_9/images/user_uploads/Tiong_Bahru_Plaza___Family_Fun_Destination_3.jpg"", ""filename"": ""Tiong_Bahru_Plaza___Family_Fun_Destination_3.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/tiong-bahru-plaza/"", ""source_credit"": ""playpoint""}, {""url"": ""https://playpoint.asia/wp-content/uploads/TBP_004-scaled.jpg"", ""source_credit"": ""Playpoint Asia""}]",103.8240181,1.2877978,TRUE,Central Region,Bukit Merah,,"hammock, toddler, trampoline, merry-go-round, rocking horse"
187,Parkside @ Paya Lebar Quarter,Playpoint Asia,Parkside @ Paya Lebar Quarter venue information.,Parkside @ Paya Lebar Quarter is a venue that offers various activities and attractions suitable for families and kids. It provides a space for parents and children to enjoy recreational activities together. The venue includes play areas and amenities designed to cater to the needs of families. It is a family-friendly destination with a focus on providing a safe and enjoyable environment for children to play and explore. The venue aims to create memorable experiences for families through its diverse range of activities and attractions.,https://playpoint.asia/projects/malls/?filter-country=singapore,activity,https://playpoint.asia/projects/malls/?filter-country=singapore,TRUE,Free,Free,0,0,,1 to 12 years old,0,12,Available daily,"Available daily, 10am - 10pm",1970-01-01T00:00:00+08:00,2099-12-31T23:59:59+08:00,Parkside @ Paya Lebar Quarter,2 Tanjong Katong Rd,"Outdoor Playground, Mall related","[{""local_path"": ""events_output/event_10/images/user_uploads/Parkside___Paya_Lebar_Quarter_1.jpg"", ""filename"": ""Parkside___Paya_Lebar_Quarter_1.jpg"", ""original_url"": ""https://playpoint.asia/projects/malls/parkside-paya-lebar-quarters/"", ""source_credit"": ""playpoint""}, {""local_path"": ""events_output/event_10/images/user_uploads/Parkside___Paya_Lebar_Quarter_2.jpg"", ""filename"": ""Parkside___Paya_Lebar_Quarter_2.jpg"", ""original_url"": ""https://www.payalebarquarter.com/about/parkside/?"", ""source_credit"": ""PLQ""}, {""url"": ""https://playpoint.asia/wp-content/uploads/home-banner2_MALLS.jpg"", ""source_credit"": ""Playpoint Asia""}]",103.8928191,1.3156879,TRUE,Central Region,Geylang,,"slide, tunnel"
