Name,Address,Phone,Website,Category
School of Concepts (Kinex),"11 Tanjong Katong Rd, #02-38, Singapore 437157",+65 9237 5595,https://www.schoolofconcepts.sg/schools?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=15366341638390581178,"point_of_interest,establishment"
Curious Thoughts Academy,"37 Middle Road #02-00 UWEEI Building, Singapore 188946",+65 6250 2595,https://academy.curiousthoughts.sg/,"point_of_interest,establishment"
Merry Minds Enrichment Centre,"50 E Coast Rd, #02-141 Roxy Square 2, Singapore 428769",+65 8086 8268,http://www.merrymindssg.com/,"point_of_interest,establishment"
MindChamps Reading @ Toa Payoh,"Blk 190 Lor 6 Toa Payoh, #03-512, Singapore 310190",+65 8020 9498,https://www.mindchamps.org/enrichment/our-centres/mindchamps-enrichment-academy-toa-payoh-central/,"point_of_interest,establishment"
Phonics Essentials,"53A Grange Rd, Singapore 249566",+65 8621 7303,http://www.phonicsessentials.com/,"point_of_interest,establishment"
LITTLE READERS Phonics & Reading Specialist @ Hougang-Serangoon-Sengkang-Punggol,"1187 Upper Serangoon Rd, #01-04, Singapore 533971",+65 8138 5397,https://www.littlereaderssg.com/phonics-reading,"point_of_interest,establishment"
Jan & Elly English Language School (Woodleigh Mall),"11 Bidadari Park Dr, #01-02, Singapore 367803",+65 8048 6690,https://jan-elly.com/,"point_of_interest,establishment"
I Can Read,"180 Kitchener Rd, #07 - 09, Singapore 208539",+65 6509 4217,https://sg.icanread.asia/,"point_of_interest,establishment"
Tuffaha Readers (Eunos Branch),"150 Changi Rd, #02-04 Guthrie Building, Singapore 419973",+65 6247 9004,http://tuffaha.sg/,"point_of_interest,establishment"
Articulate Literacy@Tampines,"Blk 866A Tampines Street 83, #03-08 Tampines Central Community Complex, Singapore 521866",+65 8013 6312,https://www.facebook.com/articulate.literacy/,"point_of_interest,establishment"
Ezy Pzy Academy,"183 Jln Pelikat, #01-40 The Promenade @ Pelikat, Singapore 537643",+65 9768 2580,,"point_of_interest,establishment"
MindChamps Reading @ Punggol Digital District,"11 Northshore Dr, #01-B, Singapore 828670",+65 8332 0020,https://www.mindchamps.org/mrw/reading-programme/,"point_of_interest,establishment"
