id,title,organiser,blurb,description,guid,activity_or_event,url,is_free,price_display_teaser,price_display,price,min_price,max_price,age_group_display,min_age,max_age,datetime_display_teaser,datetime_display,start_datetime,end_datetime,venue_name,address_display,categories,images,longitude,latitude,checked,region,planning_area,label_tag,keyword_tag
1,T-Play Bukit Batok: Transportation-Themed Indoor Playground,HomeTeamNS,Indoor playground at HomeTeamNS Bukit Batok Clubhouse.,"T-Play Bukit Batok is an indoor playground designed and conceptualized in Sweden, that adopts a Scandinavian theme. It is a playground crafted with intricate details to engage children in purposeful play. The playground is designed to allow children to develop in areas such as cognitive, emotional, social and physical through play. It includes various play areas and obstacles to provide a fun and engaging experience for children of different age groups. T-Play is suitable for children between the ages of 1 to 12 years old. It is a great place for families to spend quality time together and create lasting memories. The playground is safe and clean, and the staff are friendly and helpful. It is a perfect place for children to learn and grow through play.",https://www.hometeamns.sg/tplay/,activity,https://www.hometeamns.sg/tplay/,TRUE,Free + Paid options,From $10.90 to $32.70 (Free for children below 1 year old),10.9,10.9,$32.70 ,12 years old and below,0,12,Available daily (except Mon),"Tue - Thu: 1pm - 7pm, Fri & PH eve: 1pm - 9pm, Weekends & PH & School holidays: 10am - 9pm",1970-01-01T00:00:00,2099-12-31T23:59:00,T-Play Bukit Batok,"2 Bukit Batok West Ave 7, Level 2, Singapore 659003",Indoor Playground,"[{""local_path"": ""events_output/event_1/images/user_uploads/T_Play_Bukit_Batok__Transportation_Themed_Indoor_Playground_1.png"", ""filename"": ""T_Play_Bukit_Batok__Transportation_Themed_Indoor_Playground_1.png"", ""original_url"": ""https://www.hometeamns.sg/tplay/bukitbatok/"", ""source_credit"": ""hometeamns""}]",103.750533,1.3660906,TRUE,West Region,Bukit Batok,,"hometeamns, transport, car, plane"
2,T-Play Khatib: Peranakan-Themed Adventureland,HomeTeamNS,"Interactive trampoline, climbing slide tower, sport pitch.","T-Play at Khatib has an interactive trampoline, climbing slide tower, sport pitch, foam ball shooting arena, ninja course for toddlers and many more exciting features. T-Play indoor playgrounds are designed to engage the child’s brain development, motion coordination and sense of direction. We are really BIG on parent-child bonding too! T-Play partners The Intan, Singapore’s award winning home Museum to transform T Play Khatib into a Peranakan adventureland where fun, play & learning come together in a truly Singaporean spirit. Celebrate your birthday with us!",https://www.hometeamns.sg/tplay/,activity,https://www.hometeamns.sg/tplay/,TRUE,Free + Paid options,From $10.90 to $32.70 (Free for children below 1 year old),10.9,10.9,$32.70 ,12 years old and below,0,12,Available daily (except Mon),"Tue - Thu: 1pm - 7pm, Fri & PH eve: 1pm - 9pm, Weekends & PH & School holidays: 10am - 9pm",1970-01-01T00:00:00,2099-12-31T23:59:00,T-Play Khatib,"2 Yishun Walk, Level 1, Singapore 767944",Indoor Playground,"[{""local_path"": ""events_output/event_2/images/user_uploads/T_Play_Khatib__Peranakan_Themed_Adventureland_1.jpg"", ""filename"": ""T_Play_Khatib__Peranakan_Themed_Adventureland_1.jpg"", ""original_url"": ""https://playpoint.asia/projects/hospitality/hometeamns-khatib-2/"", ""source_credit"": ""playpoint""}, {""local_path"": ""events_output/event_2/images/user_uploads/T_Play_Khatib__Peranakan_Themed_Adventureland_2.jpg"", ""filename"": ""T_Play_Khatib__Peranakan_Themed_Adventureland_2.jpg"", ""original_url"": ""https://playpoint.asia/projects/hospitality/hometeamns-khatib-2/"", ""source_credit"": ""playpoint""}, {""local_path"": ""events_output/event_2/images/user_uploads/T_Play_Khatib__Peranakan_Themed_Adventureland_3.jpg"", ""filename"": ""T_Play_Khatib__Peranakan_Themed_Adventureland_3.jpg"", ""original_url"": ""https://playpoint.asia/projects/hospitality/hometeamns-khatib-2/"", ""source_credit"": ""playpoint""}]",103.8314361,1.4148174,TRUE,North Region,Yishun,,"hometeamns, peranakan"
3,KidsSTOP™ - A Children's Science Museum in Singapore,Science Centre Singapore,Nurture your child’s love for Science through play!,"KidsSTOP™ is designed to engage children aged 18 months to 8 years old in the world of Science through purposeful play. With a focus on hands-on activities and immersive exhibits, KidsSTOP™ offers a fun and interactive learning environment where children can explore, experiment, and discover new things. The exhibits are designed to stimulate curiosity and encourage children to ask questions, solve problems, and develop a deeper understanding of scientific concepts. KidsSTOP™ also offers a variety of educational programs and workshops that complement the exhibits and provide children with opportunities to learn and grow. It is a place where children can learn through play and develop a lifelong love for Science.",https://www.science.edu.sg/visit-us/kidsstop?saf_src=google_g&saf_pt=&saf_kw=kidsstop&saf_dv=&saf_cam=21516657339&saf_grp=171146839611&saf_ad=707657527351&account_id=2980358413&saf_acc=2980358413&saf_cam_tp=search&gad_source=1&gad_campaignid=21516657339&gbraid=0AAAAApe1bOnbGPkbvVpLxeOkrMixS5OlD&gclid=CjwKCAjw2vTFBhAuEiwAFaScwj08bEPuL7qd9_BQUT_xIH6zLpaYip9YXbfgWq0kO-M6A4xraA9eohoCK2kQAvD_BwE,activity,https://www.science.edu.sg/visit-us/kidsstop?saf_src=google_g&saf_pt=&saf_kw=kidsstop&saf_dv=&saf_cam=21516657339&saf_grp=171146839611&saf_ad=707657527351&account_id=2980358413&saf_acc=2980358413&saf_cam_tp=search&gad_source=1&gad_campaignid=21516657339&gbraid=0AAAAApe1bOnbGPkbvVpLxeOkrMixS5OlD&gclid=CjwKCAjw2vTFBhAuEiwAFaScwj08bEPuL7qd9_BQUT_xIH6zLpaYip9YXbfgWq0kO-M6A4xraA9eohoCK2kQAvD_BwE,FALSE,From $2,From $2 - $23,2,2,23,8 years old and below,0,8,Available daily (except Mon),"Available daily (except Mon), 10am - 5pm",1970-01-01T00:00:00,2099-12-31T23:59:00,KidsSTOP™,"21 Jurong Town Hall Rd, Singapore 609433","Attraction, Indoor Playground","[{""local_path"": ""events_output/event_1/images/user_uploads/KidsSTOP____A_Children_s_Science_Museum_in_Singapore_1.jpg"", ""filename"": ""KidsSTOP____A_Children_s_Science_Museum_in_Singapore_1.jpg"", ""original_url"": ""https://www.science.edu.sg/images/default-source/scs-images/kidsstop/banners/kidsstop-banner-03.jpg"", ""source_credit"": ""science""}, {""local_path"": ""events_output/event_1/images/user_uploads/KidsSTOP____A_Children_s_Science_Museum_in_Singapore_2.jpeg"", ""filename"": ""KidsSTOP____A_Children_s_Science_Museum_in_Singapore_2.jpeg"", ""original_url"": ""https://tickets.science.edu.sg/pre-attraction/kidsstop-57975"", ""source_credit"": ""science""}]",103.735502,1.334501,TRUE,West Region,Jurong East,,"Science, science centre, learn, education"
4,Children Playroom at CSC @ Loyang,CSC @ Loyang,Fun and engaging playroom for children at CSC @ Loyang.,"The Children's Playroom at CSC @ Loyang offers a safe and stimulating environment for children to play and explore. It features a variety of age-appropriate toys, games, and activities designed to promote creativity, social interaction, and physical development. The playroom is supervised by trained staff to ensure a fun and secure experience for all children. Parents can relax knowing their kids are in a well-maintained and engaging space. The facility is designed to cater to families looking for a recreational outlet. It provides a comfortable and enjoyable experience for children of various ages. The playroom is regularly cleaned and sanitized to maintain a high standard of hygiene.",https://cscloyang.sg/ChildrenPlayroom,activity,https://cscloyang.sg/ChildrenPlayroom,TRUE,Free,Free upon staying at facility,0,0,0,1 to 12 years old,0,12,Available daily,"Available daily, 9am - 9pm",1970-01-01T00:00:00,2099-12-31T23:59:00,CSC @ Loyang,"159W Jln. Loyang Besar, Singapore 507020",Indoor Playground,"[{""local_path"": ""events_output/event_1/images/user_uploads/Children_Playroom_at_CSC___Loyang_1.jpg"", ""filename"": ""Children_Playroom_at_CSC___Loyang_1.jpg"", ""original_url"": ""https://cscloyang.sg/ChildrenPlayroom"", ""source_credit"": ""cscloyang""}, {""local_path"": ""events_output/event_1/images/user_uploads/Children_Playroom_at_CSC___Loyang_2.jpg"", ""filename"": ""Children_Playroom_at_CSC___Loyang_2.jpg"", ""original_url"": ""https://cscloyang.sg/ChildrenPlayroom"", ""source_credit"": ""cscloyang""}, {""local_path"": ""events_output/event_1/images/user_uploads/Children_Playroom_at_CSC___Loyang_3.jpg"", ""filename"": ""Children_Playroom_at_CSC___Loyang_3.jpg"", ""original_url"": ""https://cscloyang.sg/ChildrenPlayroom"", ""source_credit"": ""cscloyang""}, {""local_path"": ""events_output/event_1/images/user_uploads/Children_Playroom_at_CSC___Loyang_4.jpg"", ""filename"": ""Children_Playroom_at_CSC___Loyang_4.jpg"", ""original_url"": ""https://cscloyang.sg/ChildrenPlayroom"", ""source_credit"": ""cscloyang""}, {""local_path"": ""events_output/event_1/images/user_uploads/Children_Playroom_at_CSC___Loyang_5.jpg"", ""filename"": ""Children_Playroom_at_CSC___Loyang_5.jpg"", ""original_url"": ""https://cscloyang.sg/ChildrenPlayroom"", ""source_credit"": ""cscloyang""}]",103.9620131,1.3803679,TRUE,East Region,Pasir Ris,,"Loyang, soft play, ballpit"
5,X-scap8: Integrated Indoor Funground on Orchard Road,X-scap8,"Fun activities to challenge, de-stress and chillax!","X-scap8 is the largest integrated indoor Funground on Orchard Road, offering a diverse range of fun activities. Experience the Infinity & Beyond high element course, X-Warrior Challenge obstacle course, Smash Lab for de-stressing, and nostalgic Arcade Games! Enjoy food and drinks at our RestoBar with views of the Singapore skyline and Orchard Road. It's a great place for families and kids to have fun and enjoy various activities together. The venue caters to a wide range of ages and interests, making it a perfect destination for a family outing. With activities ranging from physical challenges to arcade games, there's something for everyone to enjoy.",https://xscap8.com/,activity,https://xscap8.com/,FALSE,From $15,From $15 - $38 (Varies according to activity),15,15,38,5 years old and above,5,99,Available daily,"Mon - Thu: 11.30am – 9.30pm, Fri: 11.30am – 10pm, Sat: 11am – 10pm, Sun: 11am – 9.30pm",1970-01-01T00:00:00,2099-12-31T23:59:00,X-scap8,"181 Orchard Rd, #07-02 Level 7 Orchard Central Singapore 238896",Indoor Playground,"[{""local_path"": ""events_output/event_1/images/user_uploads/X_scap8__Integrated_Indoor_Funground_on_Orchard_Road_1.jpg"", ""filename"": ""X_scap8__Integrated_Indoor_Funground_on_Orchard_Road_1.jpg"", ""original_url"": """", ""source_credit"": ""Mummysmarket""}]",103.8398658,1.3006242,TRUE,Central Region,Orchard,,"high element, arcade, obstacle, orchard, orchard central"
6,Waka Waka World - Safari-Themed Indoor Playground,Waka Waka,Safari-themed indoor playground for children.,"Waka Waka is a Safari-themed indoor playground for children from 7 months to 12 years old. Located at Annex@Furama, Waka Waka has ample amount of space for little ones to unleash their energy. Waka Waka helps enhance various developmental skills through fun physical activity. From giant wave slides to challenging obstacle courses, Waka Waka is an adventure that guarantees a play experience like no other. There’s also a bistro and lounge area for the parents to kickback and relax while the children run wild. What’re you waiting for? Come on down for a roarin’ good time today!",https://playatwakawaka.com/home/sg,activity,https://playatwakawaka.com/home/sg,FALSE,From $27,From $27  - $32,27,27,32,14 years old and below,0,14,Irregular,"Irregular, to check with venue",1970-01-01T00:00:00,2099-12-31T23:59:00,Waka Waka,"407 Havelock Rd, #05-01, Singapore 169634",Indoor Playground,"[{""local_path"": ""events_output/event_1/images/user_uploads/Waka_Waka_World___Safari_Themed_Indoor_Playground_1.jpeg"", ""filename"": ""Waka_Waka_World___Safari_Themed_Indoor_Playground_1.jpeg"", ""original_url"": ""https://playatwakawaka.com/home/sg"", ""source_credit"": ""playatwakawaka""}, {""local_path"": ""events_output/event_1/images/user_uploads/Waka_Waka_World___Safari_Themed_Indoor_Playground_2.jpeg"", ""filename"": ""Waka_Waka_World___Safari_Themed_Indoor_Playground_2.jpeg"", ""original_url"": ""https://playatwakawaka.com/home/sg"", ""source_credit"": ""playatwakawaka""}, {""local_path"": ""events_output/event_1/images/user_uploads/Waka_Waka_World___Safari_Themed_Indoor_Playground_3.jpeg"", ""filename"": ""Waka_Waka_World___Safari_Themed_Indoor_Playground_3.jpeg"", ""original_url"": ""https://playatwakawaka.com/home/sg"", ""source_credit"": ""playatwakawaka""}, {""local_path"": ""events_output/event_1/images/user_uploads/Waka_Waka_World___Safari_Themed_Indoor_Playground_4.png"", ""filename"": ""Waka_Waka_World___Safari_Themed_Indoor_Playground_4.png"", ""original_url"": ""https://playatwakawaka.com/home/sg"", ""source_credit"": ""playatwakawaka""}, {""local_path"": ""events_output/event_1/images/user_uploads/Waka_Waka_World___Safari_Themed_Indoor_Playground_5.png"", ""filename"": ""Waka_Waka_World___Safari_Themed_Indoor_Playground_5.png"", ""original_url"": ""https://playatwakawaka.com/home/sg"", ""source_credit"": ""playatwakawaka""}]",103.8356603,1.287771,TRUE,Central Region,Singapore River,,safari
7,Kidztropic at Poiz Centre,Kidztropic ,Play venue for families and kids.,"Kidztropic is a cozy indoor playground made just for little adventurers aged, where curiosity and creativity take center stage. Children can scramble up colorful climbing walls, zoom down slides, bounce on trampolines, and dive into the ball pit for giggles galore. There’s also a pretend play corner where imaginations run wild—think role-play houses or make-believe shops—and a sensory play area packed with Montessori-style toys and tactile experiences to keep little hands busy and minds buzzing. While kids explore their world, parents can relax, chat, or simply soak in the joy of seeing their child’s delight. For family bonding, Kidztropic also hosts storytelling, workshops, and birthday-party events filled with fun and learning.",https://playatwakawaka.com/home/sg,activity,https://www.kidztropic.com/kidztropic,FALSE,From $25,Tue - Fri: $25 (2 hours) Weekends & PH: $29 (2 hours),25,25,29,6 years old and below,0,6,Available daily (except Mon),"Weekdays (except Mon): 2pm – 7pm, Weekends/PH: 10am – 8pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Kidztropic,"51 Upper Serangoon Rd, #03-12/13 Poiz Centre, Singapore 347697",Indoor Playground,"[{""local_path"": ""events_output/event_2/images/user_uploads/Kidztropic_at_Poiz_Centre_1.jpg"", ""filename"": ""Kidztropic_at_Poiz_Centre_1.jpg"", ""original_url"": ""https://www.kidztropic.com/kidztropic"", ""source_credit"": ""kidztropic""}]",103.8681859,1.3312349,TRUE,Central Region,Toa Payoh,,poiz centre
8,Amazonia: Giant Indoor Playground and Party Venue,Amazonia,Indoor playground with toddler area and party rooms.,"Amazonia offers a giant indoor playground experience perfect for families and children of all ages. Our facilities include a toddler play area, a snow ballpit fountain, an augmented reality impact wall, basketball trampolines, and themed party rooms for birthdays and special events. We provide a safe and fun environment for kids to explore, play, and create lasting memories. Our playground is designed to be family-friendly, ensuring that both children and parents can enjoy their time together. We also cater to school outings, providing a unique and exciting experience for students. With a variety of activities and attractions, Amazonia is the ideal destination for a day of fun and adventure.",https://www.amazoniafun.com/?gad_source=1&gad_campaignid=20470558695&gbraid=0AAAAADha8Ttl5dgoDkgieaXleLTpAqOkA&gclid=Cj0KCQjw5c_FBhDJARIsAIcmHK9gTRBp9sDfIDJJK_taanBF0m4Pztba0YdL-QDH5_0FTOcs_MomUycaAjPrEALw_wcB,activity,https://www.amazoniafun.com/?gad_source=1&gad_campaignid=20470558695&gbraid=0AAAAADha8Ttl5dgoDkgieaXleLTpAqOkA&gclid=Cj0KCQjw5c_FBhDJARIsAIcmHK9gTRBp9sDfIDJJK_taanBF0m4Pztba0YdL-QDH5_0FTOcs_MomUycaAjPrEALw_wcB,TRUE,Free + Paid options,From $28.80 - $62 (Free for child below 3 years old),28.8,28.8,62,1 to 14 years,1,14,Available daily,"Available daily, 9:30am to 7:30pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Amazonia,"1 Kim Seng Promenade, #03-113 Great World, Singapore 237994",Indoor Playground,"[{""local_path"": ""events_output/event_1/images/user_uploads/Amazonia__Giant_Indoor_Playground_and_Party_Venue_1.jpg"", ""filename"": ""Amazonia__Giant_Indoor_Playground_and_Party_Venue_1.jpg"", ""original_url"": """", ""source_credit"": ""User Upload""}, {""local_path"": ""events_output/event_1/images/user_uploads/Amazonia__Giant_Indoor_Playground_and_Party_Venue_2.jpg"", ""filename"": ""Amazonia__Giant_Indoor_Playground_and_Party_Venue_2.jpg"", ""original_url"": """", ""source_credit"": ""User Upload""}, {""local_path"": ""events_output/event_1/images/user_uploads/Amazonia__Giant_Indoor_Playground_and_Party_Venue_3.jpg"", ""filename"": ""Amazonia__Giant_Indoor_Playground_and_Party_Venue_3.jpg"", ""original_url"": """", ""source_credit"": ""User Upload""}, {""local_path"": ""events_output/event_1/images/user_uploads/Amazonia__Giant_Indoor_Playground_and_Party_Venue_4.jpg"", ""filename"": ""Amazonia__Giant_Indoor_Playground_and_Party_Venue_4.jpg"", ""original_url"": """", ""source_credit"": ""User Upload""}]",103.8324648,1.2930254,TRUE,Central Region,Singapore River,,"marina square, ice age"
9,Kidodo Space KIDS INDOOR PLAYGROUND@Suntec,Kidodo Space,Cosmic attractions for kids aged 9 months to 12 years.,"Kidodo Space KIDS INDOOR PLAYGROUND@Suntec offers a range of cosmic attractions suitable for kids aged 9 months to 12 years. Join us for an intergalactic adventure filled with fun and excitement! Kidodo Space provides a safe and stimulating environment where children can explore, learn, and play. Our facilities include interactive play areas, climbing structures, and sensory experiences designed to engage young minds and promote physical activity. We cater to families looking for a fun and educational outing.",https://www.kidodo.sg/,activity,https://www.kidodo.sg/,FALSE,From $20,"$20 for 1 hour (1 adult + 1 child), $30 for 1 hour (1 adult + 1 child)",20,20,30,9 months to 12 years old,0,12,Available daily,"Available daily, 11am - 9pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Kidodo Space Suntec,"3 Temasek Boulevard, Suntec City Tower3, #03-350/351 Suntec City Mall, Singapore 038983",Indoor Playground,"[{""url"": ""https://static.wixstatic.com/media/397bb0_c424ebe22ec54f969823798bbb0557ad~mv2.jpg/v1/fill/w_2000,h_2000,al_c,q_100,usm_0.66_1.00_0.01,enc_auto/397bb0_c424ebe22ec54f969823798bbb0557ad~mv2.jpg"", ""source_credit"": ""Kidodo Space""}]",103.8596154,1.2956027,TRUE,Central Region,Downtown Core,,"space, galaxy"
10,Galaxy of Play at Kidodo Space City Square Mall,Kidodo Space,Space-themed indoor playground in Suntec City.,"Kidodo Space in City Square Mall is a space-themed indoor playground where every child is a star! It features attractions like a 5-meter spiral slide, interactive ball-spraying machines, and a mini supermarket for pretend play. It aims to create unforgettable memories for kids and stress-free fun for parents. The playground offers a haven for young adventurers with various engaging activities suitable for families with young children. Parents can relax while kids explore and play in a safe and stimulating environment. The space is designed to encourage creativity, imagination, and social interaction among children.",https://www.kidodo.sg/,activity,https://www.kidodo.sg/,FALSE,From $20,"$20 for 1 hour (1 adult + 1 child), $30 for 1 hour (1 adult + 1 child)",20,20,30,9 months to 12 years old,0,12,Available daily,"Available daily, 11am - 9pm",1970-01-01T00:00:00,2099-12-31T23:59:00,City Square Mall,"180 Kitchener Road, Mall, #02-19A City Square, Singapore 208539",Indoor Playground,"[{""local_path"": ""events_output/event_2/images/user_uploads/Galaxy_of_Play_at_Kidodo_Space_City_Square_Mall_1.jpg"", ""filename"": ""Galaxy_of_Play_at_Kidodo_Space_City_Square_Mall_1.jpg"", ""original_url"": ""https://www.citysquaremall.com.sg/shops/shop-list/kidodo-indoor-playground/#prettyPhoto[shop_gallery]%20noopener%20noreferrer/3/"", ""source_credit"": ""citysquaremall""}, {""local_path"": ""events_output/event_2/images/user_uploads/Galaxy_of_Play_at_Kidodo_Space_City_Square_Mall_2.jpg"", ""filename"": ""Galaxy_of_Play_at_Kidodo_Space_City_Square_Mall_2.jpg"", ""original_url"": ""https://www.citysquaremall.com.sg/shops/shop-list/kidodo-indoor-playground/#prettyPhoto[shop_gallery]%20noopener%20noreferrer/3/"", ""source_credit"": ""citysquaremall""}, {""local_path"": ""events_output/event_2/images/user_uploads/Galaxy_of_Play_at_Kidodo_Space_City_Square_Mall_3.jpg"", ""filename"": ""Galaxy_of_Play_at_Kidodo_Space_City_Square_Mall_3.jpg"", ""original_url"": ""https://www.citysquaremall.com.sg/shops/shop-list/kidodo-indoor-playground/#prettyPhoto[shop_gallery]%20noopener%20noreferrer/3/"", ""source_credit"": ""citysquaremall""}]",103.8565897,1.3113982,TRUE,Central Region,Kallang,,"space, galaxy"
