Name,Address,Phone,Website,Category,Lat,Lng
Ashley Low Photography,"110 Lor 23 Geylang, #05-12 Victory Centre, Singapore 388410",+65 9640 3774,,"point_of_interest,establishment",1.3182597999999999,103.88137859999999
Bambini Photography,"62 Ubi Rd 1, Unit 10-24 Oxley Bizhub 2, Singapore 408734",+65 8717 1558,https://www.bambiniphoto.sg/,"point_of_interest,establishment",1.3322686,103.892106
White Room Studio,"219 River Valley Rd, Level 2, Singapore 238277",+65 6235 7037,https://www.whiteroomstudio.com.sg/,"electronics_store,home_goods_store,store,point_of_interest,establishment",1.2936448,103.8424696
Littlebums Baby Photography / KalzStudioz Media Services Pte Ltd,"2 Kallang Pudding Rd, #05-12 MACTECH BUILDING, Singapore 349307",+65 8666 6525,http://www.littlebumsbabyphotography.com/,"point_of_interest,establishment",1.3297885,103.8767079
Cherubfoto,"12 Kallang Wy, #05-04, Singapore 349216",+65 9116 9591,http://www.cherubfoto.com/,"point_of_interest,establishment",1.323446,103.8786123
Baby U International,"16 Shaw Rd, #05-10, Singapore 367954",+65 9147 4840,http://www.babyu.com.sg/,"electronics_store,home_goods_store,store,point_of_interest,establishment",1.336531,103.88380099999999
TinyTodds,"33 Ubi Ave 3, #02-09, Singapore 408868",+65 8518 7159,http://www.tinytodds.sg/,"child_care_agency,clothing_store,store,point_of_interest,establishment",1.3329431,103.8939977
Bloom Photography Pte Ltd,"110 Lor 23 Geylang, #05-12 Victory Centre, Singapore 388410",+65 9640 3774,http://www.bloomphotography.sg/,"point_of_interest,establishment",1.3182597999999999,103.88137859999999
Tomato Photo Studio SG,"62 Ubi Road 1, Oxley Bizhub 2 #10-23, Singapore 408734",+65 8858 0088,https://www.tomato.sg/,"point_of_interest,establishment",1.3322686,103.892106
Fion Boon Photography,"355A Anchorvale Ln, Singapore 541355",+65 8825 1079,http://www.fionboon.com/,"point_of_interest,establishment",1.3930065,103.88512139999999
Meadow Lullabies Photography,"449A Bukit Batok West Ave 9, #06-70, Singapore 651449",+65 9191 8015,https://meadowlullabies.com/,"point_of_interest,establishment",1.3527806999999998,103.74161240000001
Rejin & Disha Photography,"8 Burn Rd, #12-04 Trivex, Singapore 369977",+65 8882 3824,http://rejinanddisha.sg/,"point_of_interest,establishment",1.3357983999999998,103.8857124
Love By Wander,"16 Shaw Rd, #06-06, Singapore 367954",+65 8668 9104,http://www.lovebywander.com/,"point_of_interest,establishment",1.3366223,103.883709
Yikeshu Bridal and Photography Studio,"63 Ubi Ave 1, #06-07 63@Ubi Singapore 408937",+65 6221 9096,https://www.yikeshu.com.sg/,"clothing_store,store,point_of_interest,establishment",1.3247229,103.89402280000002
ABC Photography,"M38 Jln Pemimpin, #06-07, Singapore 577178",+65 6258 8186,https://abcphotography.com.sg/,"point_of_interest,establishment",1.3484557,103.84154509999999
The Studio Loft,"71 Ubi Rd 1, #09-39 Oxley Bizhub, Singapore 408732",+65 6235 3696,http://www.thestudioloft.com.sg/,"point_of_interest,establishment",1.3322298000000001,103.889676
Lightime Studio | Newborn and Family Photography,"205 Balestier Rd, #02-02 The Mezzo (Commercial, Singapore 329682",+65 8945 5234,https://lightimestudio.com/,"point_of_interest,establishment",1.3205704999999999,103.85251079999999
Colight Co. Studio,"37 Lor 23 Geylang, #08-02 Yu Li Industrial Building, Singapore 388371",+65 8829 6686,https://www.colight.co/,"point_of_interest,establishment",1.3152633,103.8809231
Studio Kinu,"37 Tannery Ln, #06-03 & #06-05 Tannery House, Singapore 347790",+65 8768 9223,http://studiokinu.co/,"point_of_interest,establishment",1.3284757,103.87715539999999
StudioPlay,"33 Ubi Ave 3, #06-11, Singapore 408868",+65 6842 6682,,"point_of_interest,establishment",1.3329431,103.8939977
