Name,Address,Phone,Website,Category,Lat,Lng
Ashley Low Photography,"110 Lor 23 Geylang, #05-12 Victory Centre, Singapore 388410",+65 9640 3774,,"point_of_interest,establishment",1.3182597999999999,103.88137859999999
Bambini Photography,"62 Ubi Rd 1, Unit 10-24 Oxley Bizhub 2, Singapore 408734",+65 8717 1558,https://www.bambiniphoto.sg/,"point_of_interest,establishment",1.3322686,103.892106
Cherubfoto,"12 Kallang Wy, #05-04, Singapore 349216",+65 9116 9591,http://www.cherubfoto.com/,"point_of_interest,establishment",1.323446,103.8786123
Littlebums Baby Photography / KalzStudioz Media Services Pte Ltd,"2 Kallang Pudding Rd, #05-12 MACTECH BUILDING, Singapore 349307",+65 8666 6525,http://www.littlebumsbabyphotography.com/,"point_of_interest,establishment",1.3297885,103.8767079
Baby U International,"16 Shaw Rd, #05-10, Singapore 367954",+65 9147 4840,http://www.babyu.com.sg/,"electronics_store,home_goods_store,store,point_of_interest,establishment",1.336531,103.88380099999999
Bloom Photography Pte Ltd,"110 Lor 23 Geylang, #05-12 Victory Centre, Singapore 388410",+65 9640 3774,http://www.bloomphotography.sg/,"point_of_interest,establishment",1.3182597999999999,103.88137859999999
Tomato Photo Studio SG,"62 Ubi Road 1, Oxley Bizhub 2 #10-23, Singapore 408734",+65 8858 0088,https://www.tomato.sg/,"point_of_interest,establishment",1.3322686,103.892106
eStudio ViCa,"47 Kallang Pudding Rd, #07-14 Crescent @ Kallang, Singapore 349318",+65 8338 8065,https://www.vinkihophotography.com/,"electronics_store,home_goods_store,store,point_of_interest,establishment",1.3289303,103.87935189999999
Chocolate Photography,"158 Kallang Wy, Singapore 349245",+65 9367 0737,http://www.chocolatephotography.com.sg/,"point_of_interest,establishment",1.3232066,103.87661469999999
Bespoke Pte. Ltd.,"125 Geylang East Ave 1, #13-25, Singapore 381125",+65 8338 1249,https://www.bespokephotography.sg/,"point_of_interest,establishment",1.3178028000000002,103.8864311
The Studio Loft,"71 Ubi Rd 1, #09-39 Oxley Bizhub, Singapore 408732",+65 6235 3696,http://www.thestudioloft.com.sg/,"point_of_interest,establishment",1.3322298000000001,103.889676
TinyTodds,"33 Ubi Ave 3, #02-09, Singapore 408868",+65 8518 7159,http://www.tinytodds.sg/,"child_care_agency,clothing_store,store,point_of_interest,establishment",1.3329431,103.8939977
StudioPlay,"33 Ubi Ave 3, #06-11, Singapore 408868",+65 6842 6682,,"point_of_interest,establishment",1.3329431,103.8939977
Love By Wander,"16 Shaw Rd, #06-06, Singapore 367954",+65 8668 9104,http://www.lovebywander.com/,"point_of_interest,establishment",1.3366223,103.883709
Lightime Studio | Newborn and Family Photography,"205 Balestier Rd, #02-02 The Mezzo (Commercial, Singapore 329682",+65 8945 5234,https://lightimestudio.com/,"point_of_interest,establishment",1.3205704999999999,103.85251079999999
Colight Co. Studio,"37 Lor 23 Geylang, #08-02 Yu Li Industrial Building, Singapore 388371",+65 8829 6686,https://www.colight.co/,"point_of_interest,establishment",1.3152633,103.8809231
Picspirations Photography,"7500A Beach Rd, #01-314 The Plaza, Singapore 199591",+65 9753 1970,http://www.picspirations.sg/,"point_of_interest,establishment",1.299739,103.860815
Orange Studios,"67 Ubi Rd 1, #10-03 Oxley BizHub, Singapore 408730",+65 8606 6950,http://orangestudios.sg/,"electronics_store,home_goods_store,store,point_of_interest,establishment",1.3318523,103.8909384
White Room Studio,"219 River Valley Rd, Level 2, Singapore 238277",+65 6235 7037,https://www.whiteroomstudio.com.sg/,"electronics_store,home_goods_store,store,point_of_interest,establishment",1.2936448,103.8424696
Hip Xiong Photo Studio,"480 Geylang Rd, Singapore 389439",+65 8892 0799,http://www.hipxiong.com/,"store,point_of_interest,establishment",1.3134544,103.884484
